0x #of reinitializations, #particle, #step,loop time, average time, trms, reset_time
1x max_reinit, nparticle, nstep, blocks, threads, full_exe_elapsed, reset_time_sum, reset_time_sum/max_reinit
1 1 5000 200 1 1 37.44 35.64 35.64
1 1 5000 200 1 16 13.55 11.74 11.74
1 1 5000 200 1 64 12.49 10.71 10.71
1 1 5000 200 1 128 12.49 10.63 10.63
1 1 5000 200 1 256 13.57 11.78 11.78
1 1 5000 200 1 512 16.83 15.03 15.03
1 1 5000 200 4 16 12.71 10.92 10.92
1 1 5000 200 4 64 12.36 10.53 10.53
1 1 5000 200 4 128 12.25 10.43 10.43
1 1 5000 200 4 256 13.34 11.54 11.54
1 1 5000 200 4 512 19.59 17.82 17.82
1 1 5000 200 16 1 23.84 22.05 22.05
1 1 5000 200 16 16 12.65 10.86 10.86
1 1 5000 200 16 64 12.29 10.53 10.53
1 1 5000 200 16 128 14.26 12.45 12.45
1 1 5000 200 16 256 20.1 18.24 18.24
1 1 5000 200 16 512 25.49 23.69 23.69
1 1 5000 200 32 1 23.26 21.55 21.55
1 1 5000 200 32 16 12.65 10.89 10.89
1 1 5000 200 32 64 14.32 12.58 12.58
1 1 5000 200 32 128 18.29 16.5 16.5
1 1 5000 200 32 256 20.28 18.54 18.54
1 1 5000 200 32 512 48.8 46.99 46.99
1 1 5000 200 64 1 23.27 21.45 21.45
1 1 5000 200 64 16 12.82 10.98 10.98
1 1 5000 200 64 64 18.53 16.71 16.71
1 1 5000 200 64 128 18.4 16.6 16.6
1 1 5000 200 64 256 38.6 36.77 36.77
1 1 5000 200 64 512 95.39 93.6 93.6
1 1 5000 200 128 1 23.49 21.67 21.67
1 1 5000 200 128 16 15.07 13.26 13.26
1 1 5000 200 128 64 18.69 16.95 16.95
1 1 5000 200 128 128 34.71 32.87 32.87
1 1 5000 200 128 256 74.96 73.13 73.13
1 1 5000 200 128 512 188.6 186.71 186.71
1 1 4500 200 1 1 33.93 32.12 32.12
1 1 4500 200 1 16 12.48 10.62 10.62
1 1 4500 200 1 64 11.52 9.65 9.65
1 1 4500 200 1 128 11.35 9.6 9.6
1 1 4500 200 1 256 12.57 10.65 10.65
1 1 4500 200 1 512 15.34 13.56 13.56
1 1 4500 200 4 1 24.97 23.06 23.06
1 1 4500 200 4 16 11.76 9.87 9.87
1 1 4500 200 4 64 11.4 9.53 9.53
1 1 4500 200 4 128 11.18 9.43 9.43
