0x #of reinitializations, #particle, #step,loop time, average time, trms, reset_time
1x max_reinit, nparticle, nstep, blocks, threads, full_exe_elapsed, reset_time_sum, reset_time_sum/max_reinit
1 1 10000 200 16 256 28.93 27.13 27.13
1 1 10000 200 16 512 48.75 46.95 46.95
1 1 10000 200 32 1 44.38 42.56 42.56
1 1 10000 200 32 16 23.13 21.29 21.29
1 1 10000 200 32 64 22.46 20.66 20.66
1 1 10000 200 32 128 26.31 24.5 24.5
1 1 10000 200 32 256 38.43 36.66 36.66
1 1 10000 200 32 512 48.84 47.02 47.02
1 1 10000 200 64 1 44.12 42.28 42.28
1 1 10000 200 64 16 23.2 21.37 21.37
1 1 10000 200 64 64 26.65 24.8 24.8
1 1 10000 200 64 128 34.62 32.84 32.84
1 1 10000 200 64 256 38.66 36.85 36.85
1 1 10000 200 64 512 95.64 93.76 93.76
1 1 10000 200 128 1 44.03 42.25 42.25
1 1 10000 200 128 16 23.44 21.59 21.59
1 1 10000 200 128 64 35.16 33.34 33.34
1 1 10000 200 128 128 34.66 32.88 32.88
1 1 10000 200 128 256 75.02 73.21 73.21
1 1 10000 200 128 512 188.74 186.91 186.91
1 1 50000 200 1 1 353.72 351.98 351.98
1 1 50000 200 1 16 115.74 113.91 113.91
1 1 50000 200 1 64 104.29 102.49 102.49
1 1 50000 200 1 128 102.38 100.62 100.62
1 1 50000 200 1 256 114.27 112.56 112.56
1 1 50000 200 1 512 145.68 143.81 143.81
1 1 50000 200 4 1 253.67 251.89 251.89
1 1 50000 200 4 16 106.48 104.79 104.79
1 1 50000 200 4 64 101.6 99.9 99.9
1 1 50000 200 4 128 100.62 98.86 98.86
1 1 50000 200 4 256 110.84 109 109
1 1 50000 200 4 512 147.22 145.52 145.52
1 1 50000 200 16 1 218.36 216.51 216.51
1 1 50000 200 16 16 104.69 102.87 102.87
1 1 50000 200 16 64 101.12 99.36 99.36
1 1 50000 200 16 128 102.37 100.57 100.57
1 1 50000 200 16 256 117.64 115.79 115.79
1 1 50000 200 16 512 165.12 163.33 163.33
1 1 50000 200 32 1 212.97 211.24 211.24
1 1 50000 200 32 16 104.25 102.58 102.58
1 1 50000 200 32 64 103.15 101.36 101.36
1 1 50000 200 32 128 106.42 104.66 104.66
1 1 50000 200 32 256 129.05 127.2 127.2
1 1 50000 200 32 512 188.64 186.83 186.83
1 1 50000 200 64 1 210.14 208.27 208.27
1 1 50000 200 64 16 104.33 102.54 102.54
1 1 50000 200 64 64 107.41 105.53 105.53
1 1 50000 200 64 128 115.74 113.82 113.82
1 1 50000 200 64 256 147.13 145.39 145.39
1 1 50000 200 64 512 189.35 187.56 187.56
1 1 50000 200 128 1 208.95 207.14 207.14
1 1 50000 200 128 16 106.47 104.68 104.68
1 1 50000 200 128 64 117.93 116.1 116.1
1 1 50000 200 128 128 140.13 138.37 138.37
1 1 50000 200 128 256 165.74 163.96 163.96
1 1 50000 200 128 512 319.49 317.63 317.63
1 1 100000 200 1 1 710.25 708.42 708.42
1 1 100000 200 1 16 229.55 227.81 227.81
1 1 100000 200 1 64 206.26 204.5 204.5
1 1 100000 200 1 128 202.62 200.86 200.86
1 1 100000 200 1 256 225.87 224.02 224.02
1 1 100000 200 1 512 288.94 287.29 287.29
1 1 100000 200 4 1 507.69 505.92 505.92
1 1 100000 200 4 16 210.92 209.14 209.14
1 1 100000 200 4 64 200.71 198.93 198.93
1 1 100000 200 4 128 199.11 197.31 197.31
1 1 100000 200 4 256 218.08 216.27 216.27
1 1 100000 200 4 512 287 285.17 285.17
1 1 100000 200 16 1 435.06 433.2 433.2
1 1 100000 200 16 16 206.68 204.88 204.88
1 1 100000 200 16 64 200.04 198.25 198.25
1 1 100000 200 16 128 198.43 196.62 196.62
1 1 100000 200 16 256 223.02 221.16 221.16
1 1 100000 200 16 512 304.89 303.1 303.1
1 1 100000 200 32 1 423.89 422.08 422.08
1 1 100000 200 32 16 206.47 204.67 204.67
1 1 100000 200 32 64 200.03 198.15 198.15
1 1 100000 200 32 128 202.56 200.73 200.73
1 1 100000 200 32 256 238.88 237.08 237.08
1 1 100000 200 32 512 328.67 326.82 326.82
1 1 100000 200 64 1 417.96 416.15 416.15
1 1 100000 200 64 16 206.04 204.36 204.36
1 1 100000 200 64 64 204.16 202.24 202.24
1 1 100000 200 64 128 213.63 211.82 211.82
1 1 100000 200 64 256 257.25 255.36 255.36
1 1 100000 200 64 512 375.98 374.22 374.22
1 1 100000 200 128 1 415.26 413.45 413.45
1 1 100000 200 128 16 206.12 204.36 204.36
1 1 100000 200 128 64 217.36 215.71 215.71
1 1 100000 200 128 128 245.73 243.93 243.93
1 1 100000 200 128 256 347.29 345.56 345.56
1 1 100000 200 128 512 506.53 504.72 504.72
