0x #of reinitializations, #particle, #step,loop time, average time, trms, reset_time
1x max_reinit, nparticle, nstep, blocks, threads, full_exe_elapsed, reset_time_sum, reset_time_sum/max_reinit
1 1 5000 200 1 1 37.49 35.66 35.66
1 1 5000 200 1 16 13.53 11.75 11.75
1 1 5000 200 1 64 12.52 10.69 10.69
1 1 5000 200 1 128 12.43 10.63 10.63
1 1 5000 200 1 256 13.6 11.78 11.78
1 1 5000 200 1 512 16.78 14.99 14.99
1 1 5000 200 4 1 27.49 25.59 25.59
1 1 5000 200 4 16 12.79 10.95 10.95
1 1 5000 200 4 64 12.36 10.54 10.54
1 1 5000 200 4 128 12.16 10.43 10.43
1 1 5000 200 4 256 13.41 11.55 11.55
1 1 5000 200 4 512 19.58 17.82 17.82
1 1 5000 200 16 1 23.89 22.08 22.08
1 1 5000 200 16 16 12.64 10.87 10.87
1 1 5000 200 16 64 12.4 10.52 10.52
1 1 5000 200 16 128 14.26 12.45 12.45
1 1 5000 200 16 256 19.98 18.23 18.23
1 1 5000 200 16 512 25.47 23.68 23.68
1 1 5000 200 32 1 23.37 21.55 21.55
1 1 5000 200 32 16 12.74 10.89 10.89
1 1 5000 200 32 64 14.41 12.57 12.57
1 1 5000 200 32 128 18.3 16.48 16.48
1 1 5000 200 32 256 20.37 18.53 18.53
1 1 5000 200 32 512 48.81 46.97 46.97
1 1 5000 200 64 1 23.21 21.44 21.44
1 1 5000 200 64 16 12.73 10.98 10.98
1 1 5000 200 64 64 18.57 16.73 16.73
1 1 5000 200 64 128 18.49 16.63 16.63
1 1 5000 200 64 256 38.49 36.74 36.74
1 1 5000 200 64 512 95.34 93.52 93.52
1 1 5000 200 128 1 23.5 21.67 21.67
1 1 5000 200 128 16 15.07 13.25 13.25
1 1 5000 200 128 64 18.78 16.95 16.95
1 1 5000 200 128 128 34.58 32.86 32.86
1 1 5000 200 128 256 74.92 73.07 73.07
1 1 5000 200 128 512 188.43 186.63 186.63
1 1 4500 200 1 1 33.87 32.09 32.09
1 1 4500 200 1 16 12.57 10.63 10.63
1 1 4500 200 1 64 11.46 9.65 9.65
1 1 4500 200 1 128 11.47 9.62 9.62
1 1 4500 200 1 256 12.56 10.68 10.68
1 1 4500 200 1 512 15.39 13.59 13.59
1 1 4500 200 4 1 24.95 23.05 23.05
1 1 4500 200 4 16 11.66 9.87 9.87
1 1 4500 200 4 64 11.33 9.52 9.52
1 1 4500 200 4 128 11.27 9.44 9.44
1 1 4500 200 4 256 13.31 11.55 11.55
1 1 4500 200 4 512 19.53 17.71 17.71
1 1 4500 200 16 1 21.67 19.9 19.9
1 1 4500 200 16 16 11.61 9.83 9.83
1 1 4500 200 16 64 12.37 10.53 10.53
1 1 4500 200 16 128 14.2 12.43 12.43
1 1 4500 200 16 256 20.07 18.21 18.21
1 1 4500 200 16 512 25.49 23.68 23.68
1 1 4500 200 32 1 21.22 19.41 19.41
1 1 4500 200 32 16 11.77 9.87 9.87
1 1 4500 200 32 64 14.4 12.58 12.58
1 1 4500 200 32 128 18.4 16.48 16.48
1 1 4500 200 32 256 20.28 18.51 18.51
1 1 4500 200 32 512 48.82 46.96 46.96
1 1 4500 200 64 1 21.08 19.34 19.34
