0x #of reinitializations, #particle, #step,loop time, average time, trms, reset_time
1x max_reinit, nparticle, nstep, blocks, threads, full_exe_elapsed, reset_time_sum, reset_time_sum/max_reinit
1 1 3500 200 16 256 11.3 9.46 9.46
1 1 3500 200 16 512 25.44 23.68 23.68
1 1 3500 200 32 1 17.1 15.24 15.24
1 1 3500 200 32 16 9.61 7.77 7.77
1 1 3500 200 32 64 10.38 8.57 8.57
1 1 3500 200 32 128 10.3 8.48 8.48
1 1 3500 200 32 256 20.29 18.53 18.53
1 1 3500 200 32 512 48.89 47 47
1 1 3500 200 64 1 16.8 15.08 15.08
1 1 3500 200 64 16 10.72 8.9 8.9
1 1 3500 200 64 64 10.45 8.67 8.67
1 1 3500 200 64 128 18.35 16.63 16.63
1 1 3500 200 64 256 38.53 36.74 36.74
1 1 3500 200 64 512 95.49 93.65 93.65
1 1 3500 200 128 1 17.18 15.37 15.37
1 1 3500 200 128 16 10.89 9.11 9.11
1 1 3500 200 128 64 18.76 16.96 16.96
1 1 3500 200 128 128 34.7 32.83 32.83
1 1 3500 200 128 256 75.02 73.15 73.15
1 1 3500 200 128 512 188.87 187.02 187.02
1 1 3000 200 1 1 23.32 21.53 21.53
1 1 3000 200 1 16 9.02 7.22 7.22
1 1 3000 200 1 64 8.24 6.51 6.51
1 1 3000 200 1 128 8.43 6.53 6.53
1 1 3000 200 1 256 9.08 7.24 7.24
1 1 3000 200 1 512 11.03 9.17 9.17
1 1 3000 200 4 1 17.36 15.49 15.49
1 1 3000 200 4 16 8.56 6.66 6.66
1 1 3000 200 4 64 8.41 6.47 6.47
1 1 3000 200 4 128 8.28 6.42 6.42
1 1 3000 200 4 256 8.9 7.09 7.09
1 1 3000 200 4 512 13.75 12.01 12.01
1 1 3000 200 16 1 15.19 13.42 13.42
1 1 3000 200 16 16 8.64 6.69 6.69
1 1 3000 200 16 64 8.29 6.48 6.48
1 1 3000 200 16 128 10.26 8.44 8.44
1 1 3000 200 16 256 11.22 9.45 9.45
1 1 3000 200 16 512 25.49 23.68 23.68
1 1 3000 200 32 1 14.88 13.07 13.07
1 1 3000 200 32 16 8.62 6.73 6.73
1 1 3000 200 32 64 10.3 8.54 8.54
1 1 3000 200 32 128 10.33 8.5 8.5
1 1 3000 200 32 256 20.34 18.53 18.53
1 1 3000 200 32 512 48.75 46.96 46.96
1 1 3000 200 64 1 14.73 12.94 12.94
1 1 3000 200 64 16 8.71 6.81 6.81
1 1 3000 200 64 64 10.45 8.67 8.67
1 1 3000 200 64 128 18.5 16.61 16.61
1 1 3000 200 64 256 38.66 36.75 36.75
1 1 3000 200 64 512 95.38 93.64 93.64
1 1 3000 200 128 1 15.06 13.24 13.24
1 1 3000 200 128 16 10.98 9.11 9.11
1 1 3000 200 128 64 18.77 16.96 16.96
1 1 3000 200 128 128 34.73 32.88 32.88
1 1 3000 200 128 256 75 73.19 73.19
1 1 3000 200 128 512 188.82 186.95 186.95
1 1 2500 200 1 1 19.76 18.01 18.01
1 1 2500 200 1 16 7.89 6.08 6.08
1 1 2500 200 1 64 7.38 5.59 5.59
1 1 2500 200 1 128 7.23 5.5 5.5
1 1 2500 200 1 256 7.93 6.08 6.08
1 1 2500 200 1 512 9.64 7.71 7.71
1 1 2500 200 4 1 14.73 12.99 12.99
1 1 2500 200 4 16 7.47 5.73 5.73
1 1 2500 200 4 64 7.25 5.45 5.45
1 1 2500 200 4 128 7.25 5.42 5.42
1 1 2500 200 4 256 8.9 7.1 7.1
1 1 2500 200 4 512 13.74 12 12
1 1 2500 200 16 1 13.04 11.26 11.26
1 1 2500 200 16 16 7.57 5.64 5.64
1 1 2500 200 16 64 8.26 6.48 6.48
1 1 2500 200 16 128 10.19 8.44 8.44
1 1 2500 200 16 256 11.28 9.45 9.45
1 1 2500 200 16 512 25.47 23.68 23.68
1 1 2500 200 32 1 12.8 11.05 11.05
1 1 2500 200 32 16 7.53 5.68 5.68
1 1 2500 200 32 64 10.35 8.55 8.55
1 1 2500 200 32 128 10.29 8.5 8.5
1 1 2500 200 32 256 20.26 18.51 18.51
1 1 2500 200 32 512 48.8 46.94 46.94
1 1 2500 200 64 1 12.96 11.1 11.1
1 1 2500 200 64 16 8.66 6.82 6.82
1 1 2500 200 64 64 10.39 8.64 8.64
1 1 2500 200 64 128 18.44 16.59 16.59
1 1 2500 200 64 256 38.57 36.69 36.69
1 1 2500 200 64 512 95.38 93.54 93.54
1 1 2500 200 128 1 12.85 11.12 11.12
1 1 2500 200 128 16 10.91 9.09 9.09
1 1 2500 200 128 64 18.84 16.92 16.92
1 1 2500 200 128 128 34.57 32.82 32.82
1 1 2500 200 128 256 74.8 73 73
1 1 2500 200 128 512 188.4 186.66 186.66
1 1 2000 200 1 1 16.43 14.51 14.51
1 1 2000 200 1 16 6.75 4.92 4.92
1 1 2000 200 1 64 6.35 4.55 4.55
1 1 2000 200 1 128 6.27 4.48 4.48
1 1 2000 200 1 256 6.73 4.94 4.94
1 1 2000 200 1 512 8.07 6.24 6.24
1 1 2000 200 4 1 12.25 10.47 10.47
1 1 2000 200 4 16 6.51 4.66 4.66
1 1 2000 200 4 64 6.15 4.45 4.45
1 1 2000 200 4 128 6.29 4.42 4.42
1 1 2000 200 4 256 6.68 4.87 4.87
1 1 2000 200 4 512 8.06 6.21 6.21
1 1 2000 200 16 1 10.9 9.04 9.04
1 1 2000 200 16 16 6.41 4.61 4.61
1 1 2000 200 16 64 6.33 4.48 4.48
1 1 2000 200 16 128 6.25 4.46 4.46
1 1 2000 200 16 256 11.24 9.45 9.45
