0x #of reinitializations, #particle, #step,loop time, average time, trms, reset_time
1x max_reinit, nparticle, nstep, blocks, threads, full_exe_elapsed, reset_time_sum, reset_time_sum/max_reinit
1 1 512 10 4 512 2.83 0.98 0.98 0
1 1 512 10 16 1 2.32 0.5 0.5 0
1 1 512 10 16 16 2.22 0.41 0.41 0
1 1 512 10 16 64 2.31 0.53 0.53 0
1 1 512 10 16 128 2.53 0.77 0.77 0
1 1 512 10 16 256 2.94 1.32 1.32 0
1 1 512 10 16 512 4.59 2.95 2.95 0
1 1 512 10 32 1 2.13 0.45 0.45 0
1 1 512 10 32 16 2.1 0.37 0.37 0
1 1 512 10 32 64 2.54 0.79 0.79 0
1 1 512 10 32 128 2.82 1.2 1.2 0
1 1 512 10 32 256 4.16 2.33 2.33 0
1 1 512 10 32 512 7.41 5.62 5.62 0
1 1 512 10 64 1 2.09 0.48 0.48 0
1 1 512 10 64 16 2.26 0.49 0.49 0
1 1 512 10 64 64 2.96 1.15 1.15 0
1 1 512 10 64 128 3.82 2.07 2.07 0
1 1 512 10 64 256 6.29 4.33 4.33 0
1 1 512 10 64 512 12.73 10.91 10.91 0
1 1 512 10 128 1 2.1 0.49 0.49 0
1 1 512 10 128 16 2.09 0.75 0.75 0
1 1 512 10 128 64 3.73 2.1 2.1 0
1 1 512 10 128 128 5.67 3.85 3.85 0
1 1 512 10 128 256 10.13 8.32 8.32 0
1 1 1024 10 1 1 2.06 0.84 0.84 0
1 1 1024 10 1 16 2 0.52 0.52 0
1 1 1024 10 1 64 2.16 0.51 0.51 0
1 1 1024 10 1 128 2.31 0.55 0.55 0
1 1 1024 10 1 256 2.39 0.57 0.57 0
1 1 1024 10 1 512 2.51 0.66 0.66 0
1 1 1024 10 4 1 2.61 0.74 0.74 0
1 1 1024 10 4 16 2.35 0.55 0.55 0
1 1 1024 10 4 64 2.12 0.5 0.5 0
1 1 1024 10 4 128 1.88 0.5 0.5 0
1 1 1024 10 4 256 2.27 0.56 0.56 0
1 1 1024 10 4 512 2.71 0.97 0.97 0
1 1 1024 10 16 1 2.42 0.65 0.65 0
1 1 1024 10 16 16 2.29 0.56 0.56 0
1 1 1024 10 16 64 2.33 0.54 0.54 0
1 1 1024 10 16 128 2.6 0.76 0.76 0
1 1 1024 10 16 256 3.08 1.31 1.31 0
1 1 1024 10 16 512 4.74 3 3 0
1 1 1024 10 32 1 2.34 0.65 0.65 0
1 1 1024 10 32 16 2.3 0.56 0.56 0
1 1 1024 10 32 64 2.36 0.77 0.77 0
1 1 1024 10 32 128 2.89 1.21 1.21 0
1 1 1024 10 32 256 4.08 2.34 2.34 0
1 1 1024 10 32 512 7.43 5.61 5.61 0
1 1 1024 10 64 1 2.52 0.7 0.7 0
1 1 1024 10 64 16 2.29 0.54 0.54 0
1 1 1024 10 64 64 2.87 1.2 1.2 0
1 1 1024 10 64 128 3.65 2.05 2.05 0
1 1 1024 10 64 256 6.12 4.33 4.33 0
1 1 1024 10 64 512 12.79 10.92 10.92 0
1 1 1024 10 128 1 2.5 0.67 0.67 0
1 1 1024 10 128 16 2.54 0.8 0.8 0
1 1 1024 10 128 64 3.68 2.08 2.08 0
1 1 1024 10 128 128 5.58 3.84 3.84 0
1 1 1024 10 128 256 9.9 8.28 8.28 0
1 1 4096 10 1 1 4.41 2.6 2.6 0
1 1 4096 10 1 16 3.09 1.3 1.3 0
1 1 4096 10 1 64 3.06 1.24 1.24 0
1 1 4096 10 1 128 2.89 1.22 1.22 0
1 1 4096 10 1 256 2.99 1.32 1.32 0
1 1 4096 10 1 512 3.47 1.67 1.67 0
1 1 4096 10 4 1 3.41 1.93 1.93 0
1 1 4096 10 4 16 3.07 1.26 1.26 0
1 1 4096 10 4 64 2.89 1.22 1.22 0
1 1 4096 10 4 128 3.01 1.23 1.23 0
1 1 4096 10 4 256 3.12 1.35 1.35 0
1 1 4096 10 4 512 3.2 1.64 1.64 0
1 1 4096 10 16 1 3.41 1.79 1.79 0
1 1 4096 10 16 16 2.63 1.19 1.19 0
1 1 4096 10 16 64 2.89 1.2 1.2 0
1 1 4096 10 16 128 2.93 1.21 1.21 0
1 1 4096 10 16 256 3.07 1.34 1.34 0
1 1 4096 10 16 512 4.71 2.99 2.99 0
1 1 4096 10 32 1 3.55 1.78 1.78 0
1 1 4096 10 32 16 2.94 1.2 1.2 0
1 1 4096 10 32 64 2.89 1.18 1.18 0
1 1 4096 10 32 128 2.9 1.18 1.18 0
1 1 4096 10 32 256 4.09 2.33 2.33 0
1 1 4096 10 32 512 7.41 5.64 5.64 0
1 1 4096 10 64 1 3.57 1.77 1.77 0
1 1 4096 10 64 16 3.03 1.24 1.24 0
1 1 4096 10 64 64 2.88 1.22 1.22 0
1 1 4096 10 64 128 3.77 2.1 2.1 0
1 1 4096 10 64 256 5.94 4.35 4.35 0
1 1 4096 10 64 512 12.72 10.94 10.94 0
1 1 4096 10 128 1 3.62 1.77 1.77 0
1 1 4096 10 128 16 2.92 1.21 1.21 0
1 1 4096 10 128 64 3.79 2.09 2.09 0
1 1 4096 10 128 128 5.61 3.85 3.85 0
1 1 4096 10 128 256 10.06 8.36 8.36 0
1 1 4 100 1 1 2.08 0.32 0.32 0
1 1 4 100 1 16 2.12 0.35 0.35 0
1 1 4 100 1 64 2.21 0.49 0.49 0
1 1 4 100 1 128 2.34 0.58 0.58 0
1 1 4 100 1 256 2.55 0.89 0.89 0
1 1 4 100 1 512 3.02 1.42 1.42 0
1 1 4 100 4 1 2.07 0.32 0.32 0
1 1 4 100 4 16 2.26 0.48 0.48 0
1 1 4 100 4 64 2.72 0.89 0.89 0
1 1 4 100 4 128 3.2 1.42 1.42 0
1 1 4 100 4 256 4.22 2.51 2.51 0
1 1 4 100 4 512 6.35 4.62 4.62 0
1 1 4 100 16 1 2 0.36 0.36 0
1 1 4 100 16 16 2.52 0.93 0.93 0
1 1 4 100 16 64 4.22 2.54 2.54 0
1 1 4 100 16 128 6.54 4.67 4.67 0
1 1 4 100 16 256 10.72 8.97 8.97 0
